"seq_name" "geno" "clats_abd" "clats_div" "clats_rich"
"1" "201782_400194" "BESC-418" 37 0.941812408 5
"2" "201782_400495" "BESC-52" 48 0.834934054 6
"3" "201782_400549" "BESC-79" 10 1.609437912 6
"4" "201782_400577" "BESC-246" 16.5 1.348353399 4
"5" "201782_400578" "BESC-313" 12 1.467733929 5
"6" "201782_400580" "BESC-460" 8 1.039720771 3
"7" "201782_402702" "BESC-15" 13.66666667 1.536932802 5.666666667
"8" "201782_402703" "BESC-105" 18 1.58109375 7
"9" "300661_403444" "BESC-6" 27 1.301947737 5
"10" "300661_403446" "BESC-14" 43 0.297444941 3
"11" "300661_403448" "BESC-42" 13 1.199999552 4
"12" "300661_403450" "BESC-73" 9 1.214889654 4
"13" "300661_403455" "BESC-87" 20 1.248780543 4
"14" "300661_403456" "BESC-102" 25 1.416131977 5
"15" "300661_403457" "BESC-103" 26.66666667 1.291446791 5
"16" "300661_403459" "BESC-129" 21 1.046630487 4
"17" "300661_403461" "BESC-163" 13 1.737983449 6
"18" "300661_403462" "BESC-196" 10 1.495697873 5.5
"19" "300661_403465" "BESC-290" 19.66666667 1.403145128 5.333333333
"20" "300661_403467" "BESC-303" 24 1.405212139 6
"21" "300661_403470" "BESC-319" 17 1.638748957 6.666666667
"22" "300661_403471" "BESC-332" 25 1.488679873 5
"23" "300661_403473" "BESC-338" 25 1.064315404 4
"24" "300661_403475" "BESC-351" 12 1.383934652 4.333333333
"25" "300661_403480" "BESC-803" 11.5 0.767996693 2.5
"26" "300661_403484" "BESC-833" 18 1.431566785 5
"27" "300661_403485" "BESC-869" 35 0.881697884 5.5
"28" "300661_403486" "BESC-876" 14 1.569152946 6
"29" "300661_403487" "BESC-890" 40 0.799237451 6
"30" "300661_403488" "BESC-898" 20 1.521778187 6
"31" "300661_405070" "BESC-154" 19 1.398920394 5
"32" "300661_405072" "BESC-162" 28 1.827233759 8
"33" "300661_405073" "BESC-170" 15 1.674589567 6
"34" "300661_405075" "BESC-179" 25 1.201682019 6
"35" "300661_405076" "BESC-183" 3 0.636514168 2
"36" "300661_405077" "BESC-186" 20 1.760145977 8
"37" "300661_405078" "BESC-189" 30 1.869788616 8
"38" "300661_405079" "BESC-205" 23 1.470098871 6
"39" "300661_405080" "BESC-207" 25 0.635004757 3
"40" "300661_405081" "BESC-220" 18 0.854806285 4
"41" "300661_405083" "BESC-226" 23 1.645953413 6
"42" "300661_405086" "BESC-267" 17 0.958691859 3
"43" "300661_405087" "BESC-275" 10 1.609437912 6
"44" "300661_405089" "BESC-291" 45 1.003475824 5
"45" "300661_405090" "BESC-389" 8 1.073542846 4
"46" "300661_405091" "BESC-396" 18 1.274023062 5
"47" "300661_405092" "BESC-415" 14 0.754996758 4
"48" "300661_405095" "BESC-430" 27 1.29050729 6
"49" "300661_405096" "BESC-440" 23 1.87654493 7
"50" "300661_405098" "BESC-453" 12 1.118743336 4
"51" "300661_405100" "BESC-802" 30 1.266156842 5
"52" "300661_405101" "BESC-812" 29 1.673369236 7
"53" "300661_405103" "BESC-832" 28 0.257318641 2
"54" "300661_405106" "BESC-861" 19 1.398920394 5
"55" "300661_405107" "BESC-888" 11 1.294545166 4
"56" "300661_405109" "BESC-901" 12 1.352209399 5
"57" "300661_405112" "BESC-904" 14 1.437701444 5
"58" "300661_405113" "BESC-905" 12 1.357977855 4
"59" "300661_405114" "BESC-906" 17 1.242255046 4
"60" "300661_405117" "BESC-249" 15 1.309525835 4
"61" "300661_405198" "BESC-2" 24 2.001006523 10
"62" "300661_405199" "BESC-136" 44 0.725135505 3
"63" "300661_405207" "BESC-137" 24.33333333 0.982463958 5
"64" "300661_405213" "SQMC-25-1" 17 1.118540596 5
"65" "300661_405214" "BESC-21" 34 1.633033784 6
"66" "300661_405215" "BESC-140" 25 1.434312181 5
"67" "300661_405218" "BESC-856" 16 1.840748729 7
"68" "300661_405222" "BESC-113" 16 1.602055915 6
"69" "300661_405225" "BESC-125" 23 0.470235962 3
