"seq_name" "geno" "corv_abd" "corv_div" "corv_rich"
"1" "201782_400194" "BESC-418" 11 0.859967281 3
"2" "201782_400495" "BESC-52" 6 1.329661349 4
"3" "201782_400577" "BESC-246" 13 0.978831874 3
"4" "201782_400580" "BESC-460" 13 1.265856752 4
"5" "201782_402439" "DENA-17-3" 9 1.522955068 5
"6" "300661_403446" "BESC-14" 15 0.853236151 3
"7" "300661_403448" "BESC-42" 22 0.861790145 4
"8" "300661_403450" "BESC-73" 9 0.683738906 3
"9" "300661_403457" "BESC-103" 29 0.920674933 4
"10" "300661_403461" "BESC-163" 32 0.876144535 5
"11" "300661_403464" "BESC-273" 36 1.189985738 5.5
"12" "300661_403465" "BESC-290" 30 0.434944202 4
"13" "300661_403470" "BESC-319" 12 0.836988217 4
"14" "300661_403474" "BESC-349" 15 0.860851391 3
"15" "300661_403475" "BESC-351" 8 1.213007566 4
"16" "300661_403480" "BESC-803" 26 0.68126573 2
"17" "300661_403484" "BESC-833" 35 0.78085012 4
"18" "300661_405080" "BESC-207" 16 0.601923972 3
"19" "300661_405086" "BESC-267" 17 0.443757284 3
"20" "300661_405087" "BESC-275" 26 0.429323022 2
"21" "300661_405089" "BESC-291" 8 1.732867951 6
"22" "300661_405091" "BESC-396" 19 0.336495758 2
"23" "300661_405092" "BESC-415" 16 0.233791659 2
"24" "300661_405094" "BESC-429" 18 0.925701911 4
"25" "300661_405097" "BESC-452" 8 1.073542846 4
"26" "300661_405099" "BESC-454" 18 0.348832096 2
"27" "300661_405102" "BESC-822" 15 0.673011667 2
"28" "300661_405103" "BESC-832" 19 0.664058402 4
"29" "300661_405104" "BESC-839" 16 0.233791659 2
"30" "300661_405105" "BESC-849" 19 1.264866749 5
"31" "300661_405107" "BESC-888" 13 0.53596105 3
"32" "300661_405110" "BESC-902" 25 1.490480158 6
"33" "300661_405111" "BESC-903" 23 1.154538822 4.5
"34" "300661_405112" "BESC-904" 11 0.916464886 3
"35" "300661_405113" "BESC-905" 24 1.330407393 5
"36" "300661_405114" "BESC-906" 9 1.310783678 4
"37" "300661_405159" "BESC-834" 11 0.304636097 2
"38" "300661_405199" "BESC-136" 7 0.410116318 2
"39" "300661_405202" "BESC-323" 23 0.905368505 4
"40" "300661_405203" "BESC-818" 16.5 1.018755942 4
"41" "300661_405207" "BESC-137" 15 1.080573848 5
"42" "300661_405210" "BESC-328" 7 0 1
"43" "300661_405218" "BESC-856" 20 1.426301062 5
"44" "300661_405222" "BESC-113" 17 0.578325287 3
"45" "300661_405224" "BESC-117" 16 1.474056825 5
"46" "300661_405226" "BESC-133" 10 1.227529411 5
"47" "300661_405229" "BESC-166" 12 0.636514168 2
"48" "300661_405233" "BESC-175" 17 1.140720196 4
"49" "300661_405236" "BESC-193" 24 1.005466829 3
"50" "300661_405238" "BESC-208" 10 0.940447989 4
"51" "300661_405239" "BESC-211" 10 1.279854226 4
"52" "300661_405243" "BESC-243" 10 0.610864302 2
"53" "300661_405244" "BESC-261" 12 0.721463687 3
"54" "300661_405245" "BESC-278" 17 0.958691859 3
"55" "300661_405251" "BESC-306" 12 0 1
"56" "300661_405253" "BESC-346" 15 1.020036958 4
"57" "300661_405254" "BESC-360" 37 0 1
"58" "300661_405255" "BESC-370" 10 0.325082973 2
"59" "300661_405256" "BESC-371" 23 0.813190477 5
"60" "300661_405259" "BESC-383" 19 1.312659031 5
"61" "300661_405260" "BESC-448" 25 0.860549287 4
"62" "300661_405263" "BESC-896" 18 1.299869733 5
"63" "300661_405264" "CHWK-27-3" 12 0.286835983 2
"64" "300661_405273" "KTMA-12-1" 15 0.627705257 3
"65" "300661_405275" "MCMN-27-4" 12 1.198849313 4
"66" "300661_405276" "NHTA-27-2" 21 0.501046914 3
"67" "300661_405279" "SKWB-24-5" 12 0.836988217 4
"68" "300661_405284" "WELC-27-1" 16 1.229918604 5
"69" "300661_405286" "WHTE-28-1" 10 0.641899416 2.5
"70" "300661_405287" "WHTE-28-2" 19 0.436162325 2
"71" "300661_407431" "BESC-4" 16 0.822265337 4
"72" "300661_407432" "BESC-5" 11 1.294545166 5
"73" "300661_407433" "BESC-13" 20 1.277991469 5
"74" "300661_407434" "BESC-22" 34 0.700645377 5
"75" "300661_407435" "BESC-24" 6 0.450561209 2
"76" "300661_407436" "BESC-26" 24 0.815186211 4
"77" "300661_407442" "BESC-43" 15 1.105090371 4
"78" "300661_407443" "BESC-50" 5 0.500402424 2
"79" "300661_407445" "BESC-55" 5 0.950270539 3
"80" "300661_407446" "BESC-62" 18 0.973648923 4
"81" "300661_407449" "BESC-75" 16 0.702918931 3
