"trial" "Trait" "iter" "h2" "h2_se"
"1" "clats" "abd" "0" 0.253661244574069 0.227332074071435
"2" "clats" "abd" "1" 0 0.141015447852997
"3" "clats" "abd" "2" 0 0.141015447852997
"4" "clats" "abd" "3" 0 0.141015447852997
"5" "clats" "abd" "4" 0.13769496031613 0.200546017188894
"6" "clats" "abd" "5" 0.0470065516551284 0.164877935223097
"7" "clats" "abd" "6" 0 0.141015447852997
"8" "clats" "abd" "7" 0 0.141015447853002
"9" "clats" "abd" "8" 0 0.141015447852997
"10" "clats" "abd" "9" 0.0583309012712162 0.171388823840941
"11" "clats" "abd" "10" 0.248905444555881 0.226578136356201
"12" "clats" "abd" "11" 0 0.141015447852997
"13" "clats" "abd" "12" 0 0.141015447852998
"14" "clats" "abd" "13" 0 0.141015447853002
"15" "clats" "abd" "14" 0 0.141015447852997
"16" "clats" "abd" "15" 0 0.141015447853002
"17" "clats" "abd" "16" 0.160969406522067 0.206385769263493
"18" "clats" "abd" "17" 0.0864320969668977 0.18273393973906
"19" "clats" "abd" "18" 0.0483910195968483 0.166297972578509
"20" "clats" "abd" "19" 0.383443943207378 0.247248284196249
"21" "clats" "abd" "20" 0 0.141015447853002
"22" "clats" "abd" "21" 0.0793141154835844 0.180767984352799
"23" "clats" "abd" "22" 0.13059170788541 0.198210482183196
"24" "clats" "abd" "23" 0.0958240995075565 0.18681399735491
"25" "clats" "abd" "24" 0 0.141015447852997
"26" "clats" "abd" "25" 0 0.141015447852997
"27" "clats" "abd" "26" 0 0.141015447853002
"28" "clats" "abd" "27" 0.0121506333426518 0.148289189068577
"29" "clats" "abd" "28" 0.209931365909394 0.218150788628752
"30" "clats" "abd" "29" 0.546752510677712 0.26223384902606
"31" "clats" "abd" "30" 0 0.141015447852997
"32" "clats" "abd" "31" 0 0.141015447852998
"33" "clats" "abd" "32" 0.0532975812186331 0.169733550036947
"34" "clats" "abd" "33" 0.0781273292228139 0.179063200562713
"35" "clats" "abd" "34" 0.222219621871494 0.221211240859017
"36" "clats" "abd" "35" 0 0.141015447852997
"37" "clats" "abd" "36" 0.214125258805462 0.219261100405883
"38" "clats" "abd" "37" 0 0.141015447852997
"39" "clats" "abd" "38" 0 0.141015447853002
"40" "clats" "abd" "39" 0.214328552125207 0.218326558051002
"41" "clats" "abd" "40" 0 0.141015447852997
"42" "clats" "abd" "41" 0.133340116671362 0.198771172740004
"43" "clats" "abd" "42" 0 0.141015447852997
"44" "clats" "abd" "43" 0.126646421446362 0.19661269702418
"45" "clats" "abd" "44" 0 0.141015447853002
"46" "clats" "abd" "45" 0 0.141015447853002
"47" "clats" "abd" "46" 0 0.141015447853002
"48" "clats" "abd" "47" 0 0.141015447852997
"49" "clats" "abd" "48" 0 0.141015447852997
"50" "clats" "abd" "49" 0.236690947635466 0.22355781653164
"51" "clats" "abd" "50" 0.475033860233147 0.256749574025983
"52" "clats" "abd" "51" 0 0.141015447852997
"53" "clats" "abd" "52" 0 0.141015447852998
"54" "clats" "abd" "53" 0.0211924559141285 0.15414883975512
"55" "clats" "abd" "54" 0 0.141015447852997
"56" "clats" "abd" "55" 0 0.141015447853002
"57" "clats" "abd" "56" 0.115040731012046 0.192478845197931
"58" "clats" "abd" "57" 0.131063029295928 0.198464657463608
"59" "clats" "abd" "58" 0.0149886352778474 0.150340473946451
"60" "clats" "abd" "59" 0.0647965281012263 0.173387950371101
"61" "clats" "abd" "60" 0 0.141015447852997
"62" "clats" "abd" "61" 0 0.141015447852997
"63" "clats" "abd" "62" 0 0.141015447852997
"64" "clats" "abd" "63" 0 0.141015447853002
"65" "clats" "abd" "64" 0 0.141015447852997
"66" "clats" "abd" "65" 0.0656138090681937 0.175110180128563
"67" "clats" "abd" "66" 0.240910578777734 0.224914977455742
"68" "clats" "abd" "67" 0 0.141015447852998
"69" "clats" "abd" "68" 0 0.141015447852997
"70" "clats" "abd" "69" 0 0.141015447852997
"71" "clats" "abd" "70" 0 0.141015447852997
"72" "clats" "abd" "71" 0 0.141015447852997
"73" "clats" "abd" "72" 0.00543550353148152 0.145481004267822
"74" "clats" "abd" "73" 0.0156120589085104 0.151341489400494
"75" "clats" "abd" "74" 0 0.141015447853002
"76" "clats" "abd" "75" 0 0.141015447852997
"77" "clats" "abd" "76" 0 0.141015447852997
"78" "clats" "abd" "77" 0 0.141015447852997
"79" "clats" "abd" "78" 0 0.141015447853002
"80" "clats" "abd" "79" 0 0.141015447852997
