"trial" "Trait" "iter" "h2" "h2_se"
"1" "clats" "rich" "0" 0.243665676766356 0.143688414437008
"2" "clats" "rich" "1" 0.314488362363875 0.237610315883942
"3" "clats" "rich" "2" 0 0.141015447853002
"4" "clats" "rich" "3" 0.073674074580882 0.178063054938686
"5" "clats" "rich" "4" 0.0316891336646661 0.158740116283888
"6" "clats" "rich" "5" 0 0.141015447852997
"7" "clats" "rich" "6" 0.224884951395723 0.221749502680649
"8" "clats" "rich" "7" 0.0036288263562737 0.144751601939222
"9" "clats" "rich" "8" 0 0.141015447853002
"10" "clats" "rich" "9" 0.0402827985498092 0.16292953150326
"11" "clats" "rich" "10" 0.297523267670305 0.234826612800941
"12" "clats" "rich" "11" 0.0117943096677227 0.153947709664727
"13" "clats" "rich" "12" 0 0.141015447852997
"14" "clats" "rich" "13" 0 0.141015447853
"15" "clats" "rich" "14" 0 0.141015447853
"16" "clats" "rich" "15" 0 0.141015447853002
"17" "clats" "rich" "16" 0 0.141015447853002
"18" "clats" "rich" "17" 0 0.141015447853002
"19" "clats" "rich" "18" 0.0867079419625261 0.182333922615894
"20" "clats" "rich" "19" 0 0.141015447853002
"21" "clats" "rich" "20" 0.00342906005809522 0.143071420653588
"22" "clats" "rich" "21" 0 0.141015447852997
"23" "clats" "rich" "22" 0.0289420008755603 0.157210696938861
"24" "clats" "rich" "23" 0 0.141015447852997
"25" "clats" "rich" "24" 0 0.141015447853
"26" "clats" "rich" "25" 0 0.141015447853002
"27" "clats" "rich" "26" 0 0.141015447853
"28" "clats" "rich" "27" 0.144696725985005 0.202235468872128
"29" "clats" "rich" "28" 0.0701842452619553 0.176095906064917
"30" "clats" "rich" "29" 0.0873289895153273 0.183631915550578
"31" "clats" "rich" "30" 0.164089001473813 0.207399927623477
"32" "clats" "rich" "31" 0 0.141015447853002
"33" "clats" "rich" "32" 0.263427617969337 0.229291724902172
"34" "clats" "rich" "33" 0.249175112831157 0.226194959290005
"35" "clats" "rich" "34" 0 0.141015447853002
"36" "clats" "rich" "35" 0.0200996667641401 0.152488781204214
"37" "clats" "rich" "36" 0 0.141015447853
"38" "clats" "rich" "37" 0 0.141015447853002
"39" "clats" "rich" "38" 0.0084875038894205 0.146132537967195
"40" "clats" "rich" "39" 0 0.141015447853002
"41" "clats" "rich" "40" 0 0.141015447852997
"42" "clats" "rich" "41" 0 0.141015447853002
"43" "clats" "rich" "42" 0.0271131892786254 0.156769455821043
"44" "clats" "rich" "43" 0 0.141015447853
"45" "clats" "rich" "44" 0 0.141015447853002
"46" "clats" "rich" "45" 0 0.141015447853002
"47" "clats" "rich" "46" 0.133721112121411 0.198681557485025
"48" "clats" "rich" "47" 0.0726678388274307 0.178468693632526
"49" "clats" "rich" "48" 0 0.141015447853002
"50" "clats" "rich" "49" 0 0.141015447852997
"51" "clats" "rich" "50" 0 0.141015447853002
"52" "clats" "rich" "51" 0 0.141015447853002
"53" "clats" "rich" "52" 0 0.141015447852997
"54" "clats" "rich" "53" 0 0.141015447852997
"55" "clats" "rich" "54" 0 0.141015447853002
"56" "clats" "rich" "55" 0.286684605018379 0.233224057014532
"57" "clats" "rich" "56" 0 0.141015447853002
"58" "clats" "rich" "57" 0 0.141015447853002
