"trial" "Trait" "iter" "h2" "h2_se"
"1" "corv" "rich" "0" 0.592509931588656 0.334579953066812
"2" "corv" "rich" "1" 0.27590085797858 0.288334278271654
"3" "corv" "rich" "2" 0 0.190162004079616
"4" "corv" "rich" "3" 0.128592177885533 0.247184049299713
"5" "corv" "rich" "4" 0 0.190162004079616
"6" "corv" "rich" "5" 0.0592278107275184 0.219605492941093
"7" "corv" "rich" "6" 0 0.190162004079616
"8" "corv" "rich" "7" 0 0.190162004079616
"9" "corv" "rich" "8" 0.489745583062815 0.323609707538132
"10" "corv" "rich" "9" 0 0.190162004079616
"11" "corv" "rich" "10" 0 0.190162004079616
"12" "corv" "rich" "11" 0 0.190162004079616
"13" "corv" "rich" "12" 0 0.190162004079616
"14" "corv" "rich" "13" 0.0550608485994519 0.218947311797947
"15" "corv" "rich" "14" 0.111157198855517 0.206133085709859
"16" "corv" "rich" "15" 0 0.190162004079615
"17" "corv" "rich" "16" 0 0.190162004079616
"18" "corv" "rich" "17" 0 0.190162004079617
"19" "corv" "rich" "18" 0.223357954054919 0.27559294354888
"20" "corv" "rich" "19" 0.204626455998278 0.270763334539622
"21" "corv" "rich" "20" 0 0.190162004079616
"22" "corv" "rich" "21" 0 0.190162004079616
"23" "corv" "rich" "22" 0 0.190162004079616
"24" "corv" "rich" "23" 0 0.190162004079615
"25" "corv" "rich" "24" 0.318207701468203 0.296969741773404
"26" "corv" "rich" "25" 0 0.190162004079617
"27" "corv" "rich" "26" 0.0919212408419259 0.234478881891218
"28" "corv" "rich" "27" 0.0751733387302879 0.226649828812673
"29" "corv" "rich" "28" 0.267163793056858 0.286433957230803
"30" "corv" "rich" "29" 0.176937674220942 0.262847769858319
"31" "corv" "rich" "30" 0 0.190162004079616
"32" "corv" "rich" "31" 0.0167994075817748 0.199527776304047
"33" "corv" "rich" "32" 0.105786335639654 0.239694369183128
"34" "corv" "rich" "33" 0.0404123532118001 0.211707417318672
"35" "corv" "rich" "34" 0.147992228615943 0.253810144337
"36" "corv" "rich" "35" 0 0.190162004079617
"37" "corv" "rich" "36" 0.0647890342609615 0.222952909531012
"38" "corv" "rich" "37" 0 0.190162004079616
"39" "corv" "rich" "38" 0.115557517418041 0.24308587905764
"40" "corv" "rich" "39" 0 0.190162004079615
"41" "corv" "rich" "40" 0 0.190162004079616
"42" "corv" "rich" "41" 0 0.190162004079616
"43" "corv" "rich" "42" 0.312666424929258 0.29578793679544
"44" "corv" "rich" "43" 0.0454104857703826 0.217487632510204
"45" "corv" "rich" "44" 0.199075680007511 0.269048855726993
"46" "corv" "rich" "45" 0.325174310022249 0.297584057240068
"47" "corv" "rich" "46" 0.06873931661181 0.225212048006007
"48" "corv" "rich" "47" 0.0523339228586199 0.217129851055766
"49" "corv" "rich" "48" 0 0.190162004079616
"50" "corv" "rich" "49" 0.369525302416792 0.305967522595459
"51" "corv" "rich" "50" 0.893593266774971 0.351181048140214
"52" "corv" "rich" "51" 0 0.190162004079616
"53" "corv" "rich" "52" 0 0.190162004079615
"54" "corv" "rich" "53" 0 0.190162004079616
"55" "corv" "rich" "54" 0 0.190162004079616
"56" "corv" "rich" "55" 0.133802347636113 0.249427512375666
"57" "corv" "rich" "56" 0.032415137371394 0.210394910161697
"58" "corv" "rich" "57" 0.201861141005484 0.269824048559172
"59" "corv" "rich" "58" 0 0.190162004079616
"60" "corv" "rich" "59" 0 0.190162004079616
"61" "corv" "rich" "60" 0.0907741246709748 0.233067243225069
"62" "corv" "rich" "61" 0 0.190162004079616
"63" "corv" "rich" "62" 0.000383996848128576 0.198179148648621
"64" "corv" "rich" "63" 0.0511626604210445 0.216370885505616
"65" "corv" "rich" "64" 0 0.190162004079616
"66" "corv" "rich" "65" 0.311069363673731 0.295730045066755
"67" "corv" "rich" "66" 0 0.190162004079617
"68" "corv" "rich" "67" 0 0.190162004079617
"69" "corv" "rich" "68" 0.428936193400907 0.315488940461105
"70" "corv" "rich" "69" 0.382686950307026 0.308296525354359
"71" "corv" "rich" "70" 0 0.190162004079616
"72" "corv" "rich" "71" 0 0.190162004079616
"73" "corv" "rich" "72" 0 0.190162004079616
"74" "corv" "rich" "73" 0.113554016826718 0.241311013560354
"75" "corv" "rich" "74" 0 0.190162004079617
"76" "corv" "rich" "75" 0.417473629004712 0.313811377705505
"77" "corv" "rich" "76" 0.252075072215134 0.283854137270878
"78" "corv" "rich" "77" 0.103690765840251 0.238048594652086
"79" "corv" "rich" "78" 0 0.190162004079617
"80" "corv" "rich" "79" 0.032924885979119 0.208150740583402
"81" "corv" "rich" "80" 0 0.190162004079617
"82" "corv" "rich" "81" 0 0.190162004079616
"83" "corv" "rich" "82" 0.0414020574071044 0.212009815110145
"84" "corv" "rich" "83" 0.204705358606743 0.270710277122343
"85" "corv" "rich" "84" 0 0.190162004079615
"86" "corv" "rich" "85" 0 0.190162004079616
"87" "corv" "rich" "86" 0 0.190162004079616
"88" "corv" "rich" "87" 0 0.190162004079616
"89" "corv" "rich" "88" 0.388247394591781 0.309396601050623
"90" "corv" "rich" "89" 0 0.190162004079615
"91" "corv" "rich" "90" 0 0.190162004079615
